threshold,n_trades,signal_pct,win_rate,total_ret,sharpe,max_dd,profit_factor,avg_trade
0.35,11105,48.30150928624244,48.04142278253039,,17.700671328619553,-12.568744931271143,1.5594098034007844,0.03459365776580177
0.4,10819,47.057544256448175,48.54422774748129,,18.50706904465665,-12.171910489359176,1.6029908220190536,0.03692608202352838
0.45,10200,44.365186377278064,49.3921568627451,,19.915653691709313,-11.219559763572382,1.6913862768580399,0.041476129546514515
0.5,9221,40.10699839067461,50.97061056284568,,21.924067919967207,-7.11719970120086,1.8464264828229648,0.04889565377877253
0.55,8122,35.326867034926714,52.216202905688256,,22.949464918426784,-6.0239925413335005,1.9934880229616418,0.05618217492155271
0.6,7105,30.903396981427516,53.159746657283605,,23.172509913015613,-4.879356294090043,2.1204966296842023,0.061992115970431756
0.65,6177,26.867034926710453,53.94204306297555,,22.896459502724717,-3.8437528843283886,2.2325578456980004,0.06797511072814032
0.7,5413,23.5439954764908,54.88638462959542,,23.164774428310896,-3.085871441829502,2.409903975200847,0.07587171903480218
